Country Name,Country Code,Indicator Name,Indicator Code,Ano,Valor,Indicador Label
Argentina,ARG,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,4.84438991546631,Gasto público em educação (% PIB)
Brazil,BRA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,5.26884984970093,Gasto público em educação (% PIB)
Chile,CHL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,3.79189991950989,Gasto público em educação (% PIB)
Colombia,COL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,3.9387800693512,Gasto público em educação (% PIB)
"Egypt, Arab Rep.",EGY,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,3.76082992553711,Gasto público em educação (% PIB)
Ethiopia,ETH,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,5.40819978713989,Gasto público em educação (% PIB)
Finland,FIN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,5.83046007156372,Gasto público em educação (% PIB)
Germany,DEU,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,4.47337007522583,Gasto público em educação (% PIB)
Indonesia,IDN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,2.90190005302429,Gasto público em educação (% PIB)
Japan,JPN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,3.27241992950439,Gasto público em educação (% PIB)
Mexico,MEX,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,4.60607004165649,Gasto público em educação (% PIB)
Peru,PER,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,2.8677499294281,Gasto público em educação (% PIB)
Russian Federation,RUS,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,4.10174989700317,Gasto público em educação (% PIB)
Saudi Arabia,SAU,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,5.13781023025513,Gasto público em educação (% PIB)
South Africa,ZAF,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,4.37424993515015,Gasto público em educação (% PIB)
Sweden,SWE,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,6.38263988494873,Gasto público em educação (% PIB)
United Kingdom,GBR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2008,4.90972995758057,Gasto público em educação (% PIB)
Argentina,ARG,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,5.53105020523071,Gasto público em educação (% PIB)
Brazil,BRA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,5.46355009078979,Gasto público em educação (% PIB)
Chile,CHL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,4.25475978851318,Gasto público em educação (% PIB)
Colombia,COL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,4.77651977539062,Gasto público em educação (% PIB)
Ethiopia,ETH,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,4.42207002639771,Gasto público em educação (% PIB)
Finland,FIN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,6.45998001098633,Gasto público em educação (% PIB)
India,IND,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,3.27824997901917,Gasto público em educação (% PIB)
Indonesia,IDN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,3.52513003349304,Gasto público em educação (% PIB)
Mexico,MEX,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,4.94934988021851,Gasto público em educação (% PIB)
Peru,PER,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,3.13994002342224,Gasto público em educação (% PIB)
South Africa,ZAF,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,4.76118993759155,Gasto público em educação (% PIB)
Sweden,SWE,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,6.78425979614258,Gasto público em educação (% PIB)
United Kingdom,GBR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2009,5.06263017654419,Gasto público em educação (% PIB)
